"Name","outer_fold_accuracy","State","Runtime","data_name","fold","k_inner_folds","model","search_type","C","max_iter","random_state","solver","colsample_bytree","eta","eval_metric","gamma","max_depth","min_child_weight","n_estimators","num_class","objective","reg_alpha","reg_lambda","subsample","accuracy_group_113922","accuracy_group_191033","accuracy_group_353740","accuracy_group_667056","accuracy_group_707749","accuracy_group_814649","accuracy_group_891667","accuracy_group_898176","f1_class_0.0","f1_class_1.0","f1_class_2.0","f1_class_3.0","f1_class_4.0","f1_class_5.0","f1_class_6.0","f1_class_macro avg","f1_class_weighted avg","precision_class_0.0","precision_class_1.0","precision_class_2.0","precision_class_3.0","precision_class_4.0","precision_class_5.0","precision_class_6.0","precision_class_macro avg","precision_class_weighted avg","recall_class_0.0","recall_class_1.0","recall_class_2.0","recall_class_3.0","recall_class_4.0","recall_class_5.0","recall_class_6.0","recall_class_macro avg","recall_class_weighted avg","accuracy_group_105923","accuracy_group_106521","accuracy_group_108323","accuracy_group_109123","accuracy_group_116726","accuracy_group_133019","accuracy_group_140117","accuracy_group_156334","accuracy_group_162026","accuracy_group_162935","accuracy_group_164636","accuracy_group_169040","accuracy_group_175237","accuracy_group_177746","accuracy_group_185442","accuracy_group_191437","accuracy_group_192641","accuracy_group_198653","accuracy_group_204521","accuracy_group_205119","accuracy_group_212318","accuracy_group_212823","accuracy_group_255639","accuracy_group_257845","accuracy_group_283543","accuracy_group_293748","accuracy_group_358144","accuracy_group_406836","accuracy_group_568963","accuracy_group_581450","accuracy_group_599671","accuracy_group_601127","accuracy_group_660951","accuracy_group_662551","accuracy_group_679770","accuracy_group_680957","accuracy_group_706040","accuracy_group_725751","accuracy_group_735148","accuracy_group_783462"
"LogisticRegression_Fold_2_HCP_C2_dataset","0.2804553160571567","finished","269","HCP_C2_dataset","2","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.29538216560509556","0.3585841878928217","0.12701829924650165","0.31377343113284434","0.35335141418055016","0.1798829164449175","0.2489814395654142","0.268139122009735","0.2675841871488278","0.2710007304601899","0.3014460511679644","0.18553459119496857","0.28205128205128205","0.33827893175074186","0.25413533834586466","0.255338904363974","0.2696836899049979","0.26974621306992175","0.32458442694663164","0.4424489795918367","0.09656301145662848","0.35353535353535354","0.3698296836982968","0.13920922570016475","0.24293286219081273","0.28130050615996066","0.2804553160571567","","","","0.3314285714285714","","","0.27181544633901705","","","","","","","","","0.21614100185528756","","","0.280561122244489","","","","","0.33527131782945735","0.22687439143135343","","","","","0.30075901328273247","","","","0.28180039138943247","","","","","",""
"LogisticRegression_Fold_1_HCP_C2_dataset","0.2626040137053353","finished","275","HCP_C2_dataset","1","5","LogisticRegression","grid","1","2000","714","lbfgs","","","","","","","","","","","","","0.2824207492795389","0.3133004926108374","0.25365853658536586","0.2561576354679803","0.20689655172413793","0.21937321937321935","0.2476894639556377","0.31573896353166986","0.25485765928603704","0.31601576495879613","0.15119916579770595","0.3060267051605918","0.3401053423626787","0.18234723569350145","0.2216468151216986","0.2531712411972871","0.25321807771250726","0.24436741767764297","0.28488372093023256","0.21014492753623187","0.25712553062462096","0.31630510846745974","0.2251497005988024","0.24682814302191464","0.2549720784081293","0.25539294933049145","0.26628895184135976","0.35478680611423974","0.11807817589576548","0.3778966131907308","0.3677786818551668","0.1532192339038305","0.20112781954887216","0.2627394689071379","0.2626040137053353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LogisticRegression_Fold_6_HCP_C1_dataset","0.2447594814007028","finished","116","HCP_C1_dataset","6","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.22698072805139183","0.2917933130699088","0.14623655913978495","0.284781721746226","0.3297262889879058","0.1236405266170578","0.2109452736318408","0.23058634446344511","0.23069485333715684","0.2200996677740864","0.2475644699140401","0.20987654320987653","0.26887519260400616","0.2685329186106791","0.1952983725135624","0.2420091324200913","0.23603661386376312","0.23600019754405488","0.23430592396109637","0.35526315789473684","0.1122112211221122","0.3026886383347788","0.427040395713108","0.09045226130653268","0.18694885361552027","0.2441300645639836","0.2447594814007028","","","","","","","","","0.2730806608357629","","","0.24925521350546176","0.1945488721804511","","","","","","","","0.19550982226379796","","","","","","","0.28448275862068967","0.2773279352226721","","","","0.3001968503937008","","","","","","0.1891891891891892",""
"LogisticRegression_Fold_5_HCP_C1_dataset","0.24204904102937605","finished","137","HCP_C1_dataset","5","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.2611524163568773","0.2963934426229508","0.17586529466791395","0.27854671280276816","0.29640900791235547","0.12359550561797752","0.1751990898748578","0.22959449569367155","0.23023527912821048","0.27712031558185407","0.2480790340285401","0.2","0.272419627749577","0.23779296875","0.18333333333333332","0.24367088607594936","0.23748802364560767","0.23701536764306524","0.2469244288224956","0.3680781758957654","0.15692821368948248","0.2849557522123894","0.39337641357027464","0.09322033898305083","0.13676731793960922","0.24003580587329537","0.24204904102937605","","","0.23615160349854228","","","","","","","","","","","","0.24224806201550383","","","0.29300567107750475","","","","0.2907662082514735","0.22803738317757008","","","","0.245014245014245","","","","","0.21868787276341947","","","","","","","","0.1779835390946502"
"LogisticRegression_Fold_4_HCP_C1_dataset","0.22913117546848383","finished","129","HCP_C1_dataset","4","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.16112084063047286","0.22444343480236256","0.1630181648812296","0.2868441866596362","0.3227455275648047","0.21066907775768537","0.12752912323727775","0.21376719364763844","0.2142176914184309","0.2371134020618557","0.25333333333333335","0.19188596491228072","0.2009604728481714","0.2892670157068063","0.2375127420998981","0.1951219512195122","0.22931355459740824","0.23009352744747477","0.1220159151193634","0.20146818923327897","0.1417004048582996","0.5009208103130756","0.3649876135425269","0.1892770105605199","0.0947176684881603","0.2307268017307464","0.22913117546848383","0.2005676442762535","0.19563058589870905","","","","","","0.27348837209302324","","0.19264278799612777","","","","0.3029126213592233","","","","","","0.18433619866284623","","","","","","","","","","","","","","","","0.2220039292730845","0.2628811777076761","","",""
"LogisticRegression_Fold_3_HCP_C1_dataset","0.25030273674013076","finished","118","HCP_C1_dataset","3","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.2875297855440826","0.2925625660909411","0.133032694475761","0.26834052569635153","0.30671989354624085","0.1882591093117409","0.19719827586206895","0.23909183578959817","0.2390132110430593","0.260806916426513","0.2608422375864236","0.213768115942029","0.2430703624733475","0.25639599555061177","0.23969072164948457","0.2453083109919571","0.2456975229457667","0.245601802982073","0.32035398230088497","0.3330658105939005","0.09656301145662848","0.29947460595446584","0.38162251655629137","0.155","0.16486486486486487","0.25013497024671943","0.25030273674013076","","","","","0.2653658536585366","0.18393030009680544","","","","","0.2815985130111524","","","","","","0.2436399217221135","","","","","","","","","0.23904761904761904","","","","","0.23146292585170344","","","","0.34407582938388626","","","0.2082082082082082","",""
"LogisticRegression_Fold_2_HCP_C1_dataset","0.2585371760716881","finished","115","HCP_C1_dataset","2","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.23043852106620807","0.33205974296630775","0.13796735123749343","0.31080592699674736","0.3569254185692542","0.15526443474041726","0.2034764826175869","0.2467054111705736","0.2465661922521123","0.2265426880811496","0.2889963724304716","0.1935007385524372","0.2562574493444577","0.33620071684587816","0.1889020070838253","0.24150485436893204","0.2474149752438788","0.24772670491252569","0.23447069116360456","0.3902040816326531","0.1072013093289689","0.3948576675849403","0.3803730738037307","0.13179571663920922","0.17579505300353357","0.25924251330809145","0.2585371760716881","","","","0.32857142857142857","","","0.22367101303911735","","","","","","","","","0.24211502782931352","","","0.2434869739478958","","","","","0.2625968992248062","0.1966893865628043","","","","","0.2618595825426945","","","","0.30724070450097846","","","","","",""
"LogisticRegression_Fold_1_HCP_C1_dataset","0.24082232011747431","finished","113","HCP_C1_dataset","1","5","LogisticRegression","grid","0.1","2000","714","lbfgs","","","","","","","","","","","","","0.2507204610951009","0.30935960591133005","0.2526829268292683","0.18226600985221675","0.22246941045606228","0.17188983855650522","0.23752310536044363","0.29846449136276393","0.22659667541557305","0.29077289751447055","0.15354135710747896","0.2905263157894737","0.33598841419261405","0.1384083044982699","0.18331616889804325","0.23130716191656045","0.23173287543917895","0.2110839445802771","0.25206611570247933","0.1959544879898862","0.2753391859537111","0.30267449445531636","0.17587939698492464","0.20273348519362183","0.2308187301228881","0.2312675182394077","0.2445703493862134","0.34352373290426386","0.1262214983713355","0.3074866310160428","0.3775427176566314","0.11409942950285248","0.16729323308270677","0.24010537027429232","0.24082232011747431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LogisticRegression_Fold_6_HCP_diff_dataset","0.3376953834969102","finished","472","HCP_diff_dataset","6","5","LogisticRegression","grid","0.01","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.33882149046793764","0.3938280675973549","0.23684210526315788","0.4179936305732484","0.40825688073394495","0.1871345029239766","0.32933579335793356","0.3303160672739363","0.3299675640417937","0.3322005097706032","0.3559096945551129","0.27510917030567683","0.3863134657836644","0.3806129722024234","0.22377622377622375","0.3452611218568665","0.32845473689293875","0.3280934404755425","0.34571175950486294","0.4407894736842105","0.2079207920792079","0.45533391153512576","0.4402308326463314","0.16080402010050251","0.3148148148148148","0.33794365776643653","0.3376953834969102","","","","","","","","","0.3644314868804665","","","0.3058589870903674","0.23308270676691728","","","","","","","","0.35640785781103834","","","","","","","0.31800766283524906","0.3937246963562753","","","","0.390748031496063","","","","","","0.34459459459459457",""
"LogisticRegression_Fold_5_HCP_diff_dataset","0.311968924496237","finished","458","HCP_diff_dataset","5","5","LogisticRegression","grid","0.01","2000","714","lbfgs","","","","","","","","","","","","","","","","","","","","","0.3460748047677764","0.34913112164297","0.20920502092050208","0.374805598755832","0.35584716325742954","0.17712177121771217","0.3226086956521739","0.3049705966020566","0.30462781698398816","0.3250965250965251","0.3389570552147239","0.236096537250787","0.3342579750346741","0.3407243163340724","0.23430962343096232","0.31601362862010224","0.30363652299740673","0.30357947048743666","0.36994727592267135","0.35993485342019543","0.1878130217028381","0.4265486725663717","0.37237479806138934","0.1423728813559322","0.32948490230905864","0.31263948647692236","0.311968924496237","","","0.37026239067055394","","","","","","","","","","","","0.312015503875969","","","0.387523629489603","","","","0.4027504911591356","0.2467289719626168","","","","0.2117758784425451","","","","","0.32803180914512925","","","","","","","","0.2366255144032922"
