fold,C,max_iter,random_state,solver
1,1.0,2000.0,714.0,lbfgs
2,1.0,2000.0,714.0,lbfgs
3,1.0,2000.0,714.0,lbfgs
4,1.0,2000.0,714.0,lbfgs
5,1.0,2000.0,714.0,lbfgs
6,1.0,2000.0,714.0,lbfgs
