fold,n_estimators,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
1,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
2,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
3,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
4,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
5,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
6,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
