fold,n_estimators,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
1,800.0,0.075,6.0,3.0,3.0,0.9,0.9,0.01,5.0
2,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
3,800.0,0.075,6.0,3.0,3.0,0.9,0.9,0.01,5.0
4,800.0,0.05,7.0,15.0,1.0,1.0,0.7,0.1,10.0
5,500.0,0.15,3.0,1.0,0.0,0.7,0.9,5.0,1.0
6,500.0,0.05,10.0,3.0,3.0,0.6,1.0,0.0,0.5
